collected_at,lot_name,free_spaces,occupancy_pct
2026-02-12 01:46:07.624881+00,big_springs_1,189,61.43
2026-02-12 01:40:33.539314+00,lot_50,261,36.8
2026-02-12 01:40:33.440999+00,lot_32,155,39.92
2026-02-12 01:40:33.344073+00,lot_30,973,54.6
2026-02-12 01:40:33.245015+00,lot_26,301,30.96
2026-02-12 01:40:33.146332+00,lot_24,194,52.22
2026-02-12 01:40:33.048494+00,lot_6,196,49.35
2026-02-12 01:40:32.950266+00,big_springs_2,559,47.16
2026-02-12 01:40:32.801242+00,big_springs_1,190,61.22
2026-02-12 01:35:21.82918+00,lot_50,257,37.77
2026-02-12 01:35:21.731147+00,lot_32,153,40.7
2026-02-12 01:35:21.632082+00,lot_30,961,55.16
2026-02-12 01:35:21.534558+00,lot_26,297,31.88
2026-02-12 01:35:21.437463+00,lot_24,194,52.22
2026-02-12 01:35:21.339262+00,lot_6,189,51.16
2026-02-12 01:35:21.241422+00,big_springs_2,559,47.16
2026-02-12 01:35:21.091569+00,big_springs_1,194,60.41
2026-02-12 01:30:30.593444+00,lot_50,251,39.23
2026-02-12 01:30:30.494063+00,lot_32,152,41.09
2026-02-12 01:30:30.394272+00,lot_30,941,56.09
2026-02-12 01:30:30.295802+00,lot_26,290,33.49
2026-02-12 01:30:30.197369+00,lot_24,196,51.72
2026-02-12 01:30:30.097358+00,lot_6,185,52.2
2026-02-12 01:30:29.997466+00,big_springs_2,559,47.16
2026-02-12 01:30:29.845494+00,big_springs_1,194,60.41
2026-02-12 01:25:30.420159+00,lot_50,249,39.71
2026-02-12 01:25:30.319635+00,lot_32,147,43.02
2026-02-12 01:25:30.218667+00,lot_30,938,56.23
2026-02-12 01:25:30.118928+00,lot_26,288,33.94
2026-02-12 01:25:30.019748+00,lot_24,195,51.97
2026-02-12 01:25:29.919581+00,lot_6,172,55.56
2026-02-12 01:25:29.819811+00,big_springs_2,559,47.16
2026-02-12 01:25:29.660409+00,big_springs_1,195,60.2
2026-02-12 01:20:24.747907+00,lot_50,244,40.92
2026-02-12 01:20:24.646697+00,lot_32,145,43.8
2026-02-12 01:20:24.546176+00,lot_30,912,57.44
2026-02-12 01:20:24.443816+00,lot_26,283,35.09
2026-02-12 01:20:24.343053+00,lot_24,189,53.45
2026-02-12 01:20:24.241107+00,lot_6,167,56.85
2026-02-12 01:20:24.1395+00,big_springs_2,559,47.16
2026-02-12 01:20:23.986821+00,big_springs_1,196,60
2026-02-12 01:15:23.940162+00,lot_50,243,41.16
2026-02-12 01:15:23.838276+00,lot_32,142,44.96
2026-02-12 01:15:23.739341+00,lot_30,865,59.64
2026-02-12 01:15:23.640062+00,lot_26,277,36.47
2026-02-12 01:15:23.540072+00,lot_24,181,55.42
2026-02-12 01:15:23.440343+00,lot_6,161,58.4
2026-02-12 01:15:23.34063+00,big_springs_2,559,47.16
2026-02-12 01:15:23.187614+00,big_springs_1,196,60
2026-02-12 01:10:44.743539+00,lot_50,243,41.16
2026-02-12 01:10:44.646223+00,lot_32,137,46.9
2026-02-12 01:10:44.546578+00,lot_30,841,60.76
2026-02-12 01:10:44.44822+00,lot_26,271,37.84
2026-02-12 01:10:44.351392+00,lot_24,165,59.36
2026-02-12 01:10:44.250994+00,lot_6,149,61.5
2026-02-12 01:10:44.153135+00,big_springs_2,559,47.16
2026-02-12 01:10:43.999605+00,big_springs_1,196,60
2026-02-12 01:05:23.927151+00,lot_50,238,42.37
2026-02-12 01:05:23.827133+00,lot_32,130,49.61
2026-02-12 01:05:23.72662+00,lot_30,761,64.49
2026-02-12 01:05:23.627136+00,lot_26,259,40.6
2026-02-12 01:05:23.526792+00,lot_24,147,63.79
2026-02-12 01:05:23.427069+00,lot_6,136,64.86
2026-02-12 01:05:23.326235+00,big_springs_2,534,49.53
2026-02-12 01:05:23.157841+00,big_springs_1,195,60.2
2026-02-12 01:00:29.377767+00,lot_50,235,43.1
2026-02-12 01:00:29.278568+00,lot_32,116,55.04
2026-02-12 01:00:29.177644+00,lot_30,702,67.24
2026-02-12 01:00:29.077286+00,lot_26,252,42.2
2026-02-12 01:00:28.976407+00,lot_24,138,66.01
2026-02-12 01:00:28.874413+00,lot_6,123,68.22
2026-02-12 01:00:28.773237+00,big_springs_2,519,50.95
2026-02-12 01:00:28.62013+00,big_springs_1,191,61.02
2026-02-12 00:55:28.358194+00,lot_50,232,43.83
2026-02-12 00:55:28.257826+00,lot_32,110,57.36
2026-02-12 00:55:28.157719+00,lot_30,677,68.41
2026-02-12 00:55:28.057676+00,lot_26,248,43.12
2026-02-12 00:55:27.958282+00,lot_24,130,67.98
2026-02-12 00:55:27.857406+00,lot_6,110,71.58
2026-02-12 00:55:27.757589+00,big_springs_2,510,51.8
2026-02-12 00:55:27.595659+00,big_springs_1,187,61.84
2026-02-12 00:50:37.770147+00,lot_50,230,44.31
2026-02-12 00:50:37.669615+00,lot_32,104,59.69
2026-02-12 00:50:37.57069+00,lot_30,662,69.11
2026-02-12 00:50:37.47196+00,lot_26,251,42.43
2026-02-12 00:50:37.372348+00,lot_24,125,69.21
2026-02-12 00:50:37.272727+00,lot_6,102,73.64
2026-02-12 00:50:37.17336+00,big_springs_2,506,52.17
2026-02-12 00:50:37.020656+00,big_springs_1,185,62.24
2026-02-12 00:45:37.986303+00,lot_50,227,45.04
2026-02-12 00:45:37.885591+00,lot_32,98,62.02
2026-02-12 00:45:37.785115+00,lot_30,651,69.62
2026-02-12 00:45:37.684603+00,lot_26,250,42.66
2026-02-12 00:45:37.584345+00,lot_24,122,69.95
2026-02-12 00:45:37.483424+00,lot_6,98,74.68
2026-02-12 00:45:37.382349+00,big_springs_2,494,53.31
2026-02-12 00:45:37.218659+00,big_springs_1,187,61.84
2026-02-12 00:40:23.639242+00,lot_50,226,45.28
2026-02-12 00:40:23.538794+00,lot_32,95,63.18
2026-02-12 00:40:23.437671+00,lot_30,639,70.18
2026-02-12 00:40:23.33614+00,lot_26,248,43.12
2026-02-12 00:40:23.234235+00,lot_24,121,70.2
2026-02-12 00:40:23.134175+00,lot_6,95,75.45
2026-02-12 00:40:23.033279+00,big_springs_2,484,54.25
2026-02-12 00:40:22.8806+00,big_springs_1,183,62.65
2026-02-12 00:35:30.28843+00,lot_50,226,45.28
2026-02-12 00:35:30.189786+00,lot_32,87,66.28
2026-02-12 00:35:30.089649+00,lot_30,647,69.81
2026-02-12 00:35:29.989899+00,lot_26,250,42.66
2026-02-12 00:35:29.890766+00,lot_24,114,71.92
2026-02-12 00:35:29.791185+00,lot_6,80,79.33
2026-02-12 00:35:29.681295+00,big_springs_2,480,54.63
2026-02-12 00:35:29.51046+00,big_springs_1,182,62.86
2026-02-12 00:30:30.10344+00,lot_50,225,45.52
2026-02-12 00:30:30.004678+00,lot_32,84,67.44
2026-02-12 00:30:29.903695+00,lot_30,639,70.18
2026-02-12 00:30:29.802635+00,lot_26,243,44.27
2026-02-12 00:30:29.70225+00,lot_24,109,73.15
2026-02-12 00:30:29.601402+00,lot_6,72,81.4
2026-02-12 00:30:29.501235+00,big_springs_2,473,55.29
2026-02-12 00:30:29.330606+00,big_springs_1,179,63.47
2026-02-12 00:25:32.884788+00,lot_50,226,45.28
2026-02-12 00:25:32.776827+00,lot_32,85,67.05
2026-02-12 00:25:32.669007+00,lot_30,635,70.37
2026-02-12 00:25:32.55963+00,lot_26,237,45.64
2026-02-12 00:25:32.452191+00,lot_24,102,74.88
2026-02-12 00:25:32.345123+00,lot_6,66,82.95
2026-02-12 00:25:32.236561+00,big_springs_2,467,55.86
2026-02-12 00:25:32.058171+00,big_springs_1,180,63.27
2026-02-12 00:20:29.920119+00,lot_50,225,45.52
2026-02-12 00:20:29.82168+00,lot_32,85,67.05
2026-02-12 00:20:29.722682+00,lot_30,626,70.79
2026-02-12 00:20:29.624385+00,lot_26,229,47.48
2026-02-12 00:20:29.526895+00,lot_24,99,75.62
2026-02-12 00:20:29.428988+00,lot_6,55,85.79
2026-02-12 00:20:29.330856+00,big_springs_2,461,56.43
2026-02-12 00:20:29.181726+00,big_springs_1,177,63.88
2026-02-12 00:15:34.356436+00,lot_50,221,46.49
2026-02-12 00:15:34.257101+00,lot_32,81,68.6
2026-02-12 00:15:34.157999+00,lot_30,608,71.63
2026-02-12 00:15:34.06009+00,lot_26,218,50
2026-02-12 00:15:33.960993+00,lot_24,90,77.83
2026-02-12 00:15:33.861888+00,lot_6,44,88.63
2026-02-12 00:15:33.762725+00,big_springs_2,448,57.66
2026-02-12 00:15:33.5971+00,big_springs_1,181,63.06
2026-02-12 00:10:49.991508+00,lot_50,219,46.97
2026-02-12 00:10:49.890546+00,lot_32,78,69.77
2026-02-12 00:10:49.790693+00,lot_30,599,72.05
2026-02-12 00:10:49.69008+00,lot_26,215,50.69
2026-02-12 00:10:49.590294+00,lot_24,91,77.59
2026-02-12 00:10:49.489025+00,lot_6,41,89.41
2026-02-12 00:10:49.387367+00,big_springs_2,438,58.6
2026-02-12 00:10:49.236681+00,big_springs_1,180,63.27
2026-02-12 00:05:25.043905+00,lot_50,213,48.43
2026-02-12 00:05:24.943388+00,lot_32,69,73.26
2026-02-12 00:05:24.8437+00,lot_30,555,74.1
2026-02-12 00:05:24.743865+00,lot_26,211,51.61
2026-02-12 00:05:24.643947+00,lot_24,87,78.57
2026-02-12 00:05:24.543797+00,lot_6,38,90.18
2026-02-12 00:05:24.44356+00,big_springs_2,431,59.26
2026-02-12 00:05:24.287679+00,big_springs_1,177,63.88
2026-02-12 00:01:12.693684+00,lot_50,201,51.33
2026-02-12 00:01:12.594299+00,lot_32,67,74.03
2026-02-12 00:01:12.493951+00,lot_30,535,75.03
2026-02-12 00:01:12.394796+00,lot_26,209,52.06
2026-02-12 00:01:12.293674+00,lot_24,86,78.82
2026-02-12 00:01:12.193013+00,lot_6,35,90.96
2026-02-12 00:01:12.092433+00,big_springs_2,414,60.87
2026-02-12 00:01:11.939017+00,big_springs_1,179,63.47
2026-02-11 23:55:50.539509+00,lot_50,198,52.06
2026-02-11 23:55:50.439554+00,lot_32,67,74.03
2026-02-11 23:55:50.338412+00,lot_30,523,75.59
2026-02-11 23:55:50.237938+00,lot_26,208,52.29
2026-02-11 23:55:50.137052+00,lot_24,83,79.56
2026-02-11 23:55:50.036822+00,lot_6,29,92.51
2026-02-11 23:55:49.937165+00,big_springs_2,405,61.72
2026-02-11 23:55:49.780165+00,big_springs_1,181,63.06
2026-02-11 23:50:55.442382+00,lot_50,193,53.27
2026-02-11 23:50:55.342441+00,lot_32,66,74.42
2026-02-11 23:50:55.240047+00,lot_30,506,76.39
2026-02-11 23:50:55.139851+00,lot_26,201,53.9
2026-02-11 23:50:55.039663+00,lot_24,87,78.57
2026-02-11 23:50:54.938977+00,lot_6,24,93.8
2026-02-11 23:50:54.839947+00,big_springs_2,393,62.85
2026-02-11 23:50:54.686071+00,big_springs_1,184,62.45
2026-02-11 23:45:46.426067+00,lot_50,190,54
2026-02-11 23:45:46.325972+00,lot_32,68,73.64
2026-02-11 23:45:46.227052+00,lot_30,490,77.13
2026-02-11 23:45:46.127295+00,lot_26,199,54.36
2026-02-11 23:45:46.026672+00,lot_24,87,78.57
2026-02-11 23:45:45.927934+00,lot_6,27,93.02
2026-02-11 23:45:45.827741+00,big_springs_2,391,63.04
2026-02-11 23:45:45.658816+00,big_springs_1,185,62.24
2026-02-11 23:40:44.939967+00,lot_50,190,54
2026-02-11 23:40:44.839905+00,lot_32,72,72.09
2026-02-11 23:40:44.739622+00,lot_30,456,78.72
2026-02-11 23:40:44.63939+00,lot_26,195,55.28
2026-02-11 23:40:44.539318+00,lot_24,84,79.31
2026-02-11 23:40:44.43916+00,lot_6,27,93.02
2026-02-11 23:40:44.338165+00,big_springs_2,370,65.03
2026-02-11 23:40:44.186869+00,big_springs_1,187,61.84
2026-02-11 23:35:29.473588+00,lot_50,190,54
2026-02-11 23:35:29.363559+00,lot_32,66,74.42
2026-02-11 23:35:29.253683+00,lot_30,440,79.47
2026-02-11 23:35:29.142963+00,lot_26,184,57.8
2026-02-11 23:35:29.033473+00,lot_24,85,79.06
2026-02-11 23:35:28.922943+00,lot_6,19,95.09
2026-02-11 23:35:28.81245+00,big_springs_2,361,65.88
2026-02-11 23:35:28.631019+00,big_springs_1,189,61.43
2026-02-11 23:30:31.064053+00,lot_50,188,54.48
2026-02-11 23:30:30.963287+00,lot_32,61,76.36
2026-02-11 23:30:30.863889+00,lot_30,407,81.01
2026-02-11 23:30:30.76428+00,lot_26,180,58.72
2026-02-11 23:30:30.662857+00,lot_24,76,81.28
2026-02-11 23:30:30.562143+00,lot_6,15,96.12
2026-02-11 23:30:30.460825+00,big_springs_2,349,67.01
2026-02-11 23:30:30.306678+00,big_springs_1,189,61.43
2026-02-11 23:25:34.29384+00,lot_50,184,55.45
2026-02-11 23:25:34.192624+00,lot_32,58,77.52
2026-02-11 23:25:34.091137+00,lot_30,399,81.38
2026-02-11 23:25:33.989874+00,lot_26,161,63.07
2026-02-11 23:25:33.888737+00,lot_24,71,82.51
2026-02-11 23:25:33.788063+00,lot_6,13,96.64
2026-02-11 23:25:33.686566+00,big_springs_2,345,67.39
2026-02-11 23:25:33.522107+00,big_springs_1,191,61.02
2026-02-11 23:20:35.042397+00,lot_50,180,56.42
2026-02-11 23:20:34.941476+00,lot_32,58,77.52
2026-02-11 23:20:34.841941+00,lot_30,398,81.43
2026-02-11 23:20:34.741921+00,lot_26,131,69.95
2026-02-11 23:20:34.641493+00,lot_24,66,83.74
2026-02-11 23:20:34.541856+00,lot_6,15,96.12
2026-02-11 23:20:34.441425+00,big_springs_2,343,67.58
2026-02-11 23:20:34.284837+00,big_springs_1,192,60.82
2026-02-11 23:15:21.777341+00,lot_50,178,56.9
2026-02-11 23:15:21.67887+00,lot_32,52,79.84
2026-02-11 23:15:21.580602+00,lot_30,393,81.66
2026-02-11 23:15:21.482494+00,lot_26,134,69.27
2026-02-11 23:15:21.382703+00,lot_24,62,84.73
2026-02-11 23:15:21.282616+00,lot_6,14,96.38
2026-02-11 23:15:21.183345+00,big_springs_2,337,68.15
2026-02-11 23:15:21.026635+00,big_springs_1,192,60.82
2026-02-11 23:10:26.967045+00,lot_50,175,57.63
2026-02-11 23:10:26.866026+00,lot_32,46,82.17
2026-02-11 23:10:26.764749+00,lot_30,376,82.45
2026-02-11 23:10:26.664641+00,lot_26,124,71.56
2026-02-11 23:10:26.563595+00,lot_24,60,85.22
2026-02-11 23:10:26.461947+00,lot_6,17,95.61
2026-02-11 23:10:26.360263+00,big_springs_2,335,68.34
2026-02-11 23:10:26.206708+00,big_springs_1,191,61.02
2026-02-11 23:05:15.122481+00,lot_50,173,58.11
2026-02-11 23:05:15.022387+00,lot_32,47,81.78
2026-02-11 23:05:14.922403+00,lot_30,340,84.13
2026-02-11 23:05:14.821656+00,lot_26,128,70.64
2026-02-11 23:05:14.720937+00,lot_24,48,88.18
2026-02-11 23:05:14.622361+00,lot_6,13,96.64
2026-02-11 23:05:14.522815+00,big_springs_2,333,68.53
2026-02-11 23:05:14.361283+00,big_springs_1,189,61.43
2026-02-11 23:00:19.77463+00,lot_50,165,60.05
2026-02-11 23:00:19.675869+00,lot_32,48,81.4
2026-02-11 23:00:19.576627+00,lot_30,328,84.69
2026-02-11 23:00:19.476855+00,lot_26,135,69.04
2026-02-11 23:00:19.376813+00,lot_24,46,88.67
2026-02-11 23:00:19.27731+00,lot_6,10,97.42
2026-02-11 23:00:19.1783+00,big_springs_2,327,69.09
2026-02-11 23:00:19.028544+00,big_springs_1,190,61.22
2026-02-11 22:55:27.633226+00,lot_50,162,60.77
2026-02-11 22:55:27.52378+00,lot_32,43,83.33
2026-02-11 22:55:27.41319+00,lot_30,314,85.35
2026-02-11 22:55:27.303914+00,lot_26,137,68.58
2026-02-11 22:55:27.193245+00,lot_24,44,89.16
2026-02-11 22:55:27.083245+00,lot_6,10,97.42
2026-02-11 22:55:26.973652+00,big_springs_2,325,69.28
2026-02-11 22:55:26.796873+00,big_springs_1,188,61.63
2026-02-11 22:50:18.761334+00,lot_50,163,60.53
2026-02-11 22:50:18.663324+00,lot_32,41,84.11
2026-02-11 22:50:18.564776+00,lot_30,314,85.35
2026-02-11 22:50:18.462932+00,lot_26,148,66.06
2026-02-11 22:50:18.362801+00,lot_24,37,90.89
2026-02-11 22:50:18.264332+00,lot_6,6,98.45
2026-02-11 22:50:18.165473+00,big_springs_2,327,69.09
2026-02-11 22:50:18.015141+00,big_springs_1,188,61.63
2026-02-11 22:45:47.104002+00,lot_50,161,61.02
2026-02-11 22:45:47.004201+00,lot_32,37,85.66
2026-02-11 22:45:46.903519+00,lot_30,314,85.35
2026-02-11 22:45:46.804206+00,lot_26,148,66.06
2026-02-11 22:45:46.705363+00,lot_24,40,90.15
2026-02-11 22:45:46.605709+00,lot_6,4,98.97
2026-02-11 22:45:46.505502+00,big_springs_2,326,69.19
2026-02-11 22:45:46.349851+00,big_springs_1,188,61.63
2026-02-11 22:40:34.410036+00,lot_50,161,61.02
2026-02-11 22:40:34.311072+00,lot_32,38,85.27
2026-02-11 22:40:34.211053+00,lot_30,318,85.16
2026-02-11 22:40:34.110559+00,lot_26,158,63.76
2026-02-11 22:40:34.010651+00,lot_24,40,90.15
2026-02-11 22:40:33.910426+00,lot_6,2,99.48
2026-02-11 22:40:33.810459+00,big_springs_2,323,69.47
2026-02-11 22:40:33.657986+00,big_springs_1,188,61.63
2026-02-11 22:35:21.419703+00,lot_50,165,60.05
2026-02-11 22:35:21.320318+00,lot_32,35,86.43
2026-02-11 22:35:21.222697+00,lot_30,316,85.25
2026-02-11 22:35:21.124336+00,lot_26,167,61.7
2026-02-11 22:35:21.024498+00,lot_24,39,90.39
2026-02-11 22:35:20.924203+00,lot_6,0,100
2026-02-11 22:35:20.825906+00,big_springs_2,324,69.38
2026-02-11 22:35:20.667492+00,big_springs_1,186,62.04
2026-02-11 22:30:28.912772+00,lot_50,166,59.81
2026-02-11 22:30:28.803591+00,lot_32,35,86.43
2026-02-11 22:30:28.695706+00,lot_30,325,84.83
2026-02-11 22:30:28.588039+00,lot_26,171,60.78
2026-02-11 22:30:28.478223+00,lot_24,42,89.66
2026-02-11 22:30:28.366348+00,lot_6,2,99.48
2026-02-11 22:30:28.25741+00,big_springs_2,319,69.85
2026-02-11 22:30:28.092698+00,big_springs_1,186,62.04
2026-02-11 22:25:27.587759+00,lot_50,166,59.81
2026-02-11 22:25:27.487036+00,lot_32,34,86.82
2026-02-11 22:25:27.387243+00,lot_30,320,85.07
2026-02-11 22:25:27.285832+00,lot_26,171,60.78
2026-02-11 22:25:27.184759+00,lot_24,41,89.9
2026-02-11 22:25:27.083729+00,lot_6,0,100
2026-02-11 22:25:26.982816+00,big_springs_2,320,69.75
2026-02-11 22:25:26.81592+00,big_springs_1,183,62.65
2026-02-11 22:20:46.849362+00,lot_50,166,59.81
2026-02-11 22:20:46.750459+00,lot_32,30,88.37
2026-02-11 22:20:46.651216+00,lot_30,318,85.16
2026-02-11 22:20:46.551935+00,lot_26,172,60.55
2026-02-11 22:20:46.452116+00,lot_24,39,90.39
2026-02-11 22:20:46.352833+00,lot_6,0,100
2026-02-11 22:20:46.2536+00,big_springs_2,321,69.66
2026-02-11 22:20:46.104086+00,big_springs_1,187,61.84
2026-02-11 22:15:39.280649+00,lot_50,164,60.29
2026-02-11 22:15:39.170462+00,lot_32,31,87.98
2026-02-11 22:15:39.061399+00,lot_30,313,85.39
2026-02-11 22:15:38.952338+00,lot_26,173,60.32
2026-02-11 22:15:38.843702+00,lot_24,38,90.64
2026-02-11 22:15:38.7349+00,lot_6,0,100
2026-02-11 22:15:38.624826+00,big_springs_2,324,69.38
2026-02-11 22:15:38.457867+00,big_springs_1,187,61.84
2026-02-11 22:10:23.34997+00,lot_50,157,61.99
2026-02-11 22:10:23.253201+00,lot_32,30,88.37
2026-02-11 22:10:23.154824+00,lot_30,282,86.84
2026-02-11 22:10:23.057605+00,lot_26,180,58.72
2026-02-11 22:10:22.959134+00,lot_24,29,92.86
2026-02-11 22:10:22.860303+00,lot_6,0,100
2026-02-11 22:10:22.762688+00,big_springs_2,321,69.66
2026-02-11 22:10:22.614024+00,big_springs_1,187,61.84
2026-02-11 22:05:19.454118+00,lot_50,152,63.2
2026-02-11 22:05:19.355853+00,lot_32,23,91.09
2026-02-11 22:05:19.25444+00,lot_30,225,89.5
2026-02-11 22:05:19.154912+00,lot_26,179,58.94
2026-02-11 22:05:19.052818+00,lot_24,24,94.09
2026-02-11 22:05:18.952155+00,lot_6,0,100
2026-02-11 22:05:18.852695+00,big_springs_2,318,69.94
2026-02-11 22:05:18.685715+00,big_springs_1,187,61.84
2026-02-11 22:00:26.374973+00,lot_50,151,63.44
2026-02-11 22:00:26.268307+00,lot_32,17,93.41
2026-02-11 22:00:26.168962+00,lot_30,172,91.97
2026-02-11 22:00:26.069064+00,lot_26,176,59.63
2026-02-11 22:00:25.97034+00,lot_24,19,95.32
2026-02-11 22:00:25.871099+00,lot_6,0,100
2026-02-11 22:00:25.770862+00,big_springs_2,315,70.23
2026-02-11 22:00:25.620009+00,big_springs_1,186,62.04
2026-02-11 21:55:27.827175+00,lot_50,149,63.92
2026-02-11 21:55:27.729909+00,lot_32,16,93.8
2026-02-11 21:55:27.632504+00,lot_30,153,92.86
2026-02-11 21:55:27.533461+00,lot_26,173,60.32
2026-02-11 21:55:27.435643+00,lot_24,17,95.81
2026-02-11 21:55:27.337706+00,lot_6,0,100
2026-02-11 21:55:27.24018+00,big_springs_2,315,70.23
2026-02-11 21:55:27.076996+00,big_springs_1,186,62.04
2026-02-11 21:50:49.928209+00,lot_50,151,63.44
2026-02-11 21:50:49.828798+00,lot_32,15,94.19
2026-02-11 21:50:49.72912+00,lot_30,165,92.3
2026-02-11 21:50:49.630559+00,lot_26,182,58.26
2026-02-11 21:50:49.527543+00,lot_24,19,95.32
2026-02-11 21:50:49.428762+00,lot_6,0,100
2026-02-11 21:50:49.32987+00,big_springs_2,320,69.75
2026-02-11 21:50:49.17796+00,big_springs_1,185,62.24
2026-02-11 21:45:18.397415+00,lot_50,154,62.71
2026-02-11 21:45:18.298325+00,lot_32,18,93.02
2026-02-11 21:45:18.19992+00,lot_30,176,91.79
2026-02-11 21:45:18.099694+00,lot_26,182,58.26
2026-02-11 21:45:18.001307+00,lot_24,28,93.1
2026-02-11 21:45:17.9025+00,lot_6,0,100
2026-02-11 21:45:17.8022+00,big_springs_2,330,68.81
2026-02-11 21:45:17.631799+00,big_springs_1,185,62.24
2026-02-11 21:40:25.234624+00,lot_50,155,62.47
2026-02-11 21:40:25.136763+00,lot_32,18,93.02
2026-02-11 21:40:25.038108+00,lot_30,180,91.6
2026-02-11 21:40:24.939169+00,lot_26,183,58.03
2026-02-11 21:40:24.840432+00,lot_24,31,92.36
2026-02-11 21:40:24.742008+00,lot_6,0,100
2026-02-11 21:40:24.643228+00,big_springs_2,331,68.71
2026-02-11 21:40:24.488491+00,big_springs_1,183,62.65
2026-02-11 21:35:32.312216+00,lot_50,157,61.99
2026-02-11 21:35:32.211207+00,lot_32,22,91.47
2026-02-11 21:35:32.110423+00,lot_30,178,91.69
2026-02-11 21:35:32.008554+00,lot_26,185,57.57
2026-02-11 21:35:31.907135+00,lot_24,34,91.63
2026-02-11 21:35:31.805312+00,lot_6,0,100
2026-02-11 21:35:31.70436+00,big_springs_2,329,68.9
2026-02-11 21:35:31.551114+00,big_springs_1,182,62.86
2026-02-11 21:30:58.128931+00,lot_50,162,60.77
2026-02-11 21:30:58.030496+00,lot_32,21,91.86
2026-02-11 21:30:57.932721+00,lot_30,181,91.55
2026-02-11 21:30:57.833769+00,lot_26,186,57.34
2026-02-11 21:30:57.734405+00,lot_24,33,91.87
2026-02-11 21:30:57.63702+00,lot_6,0,100
2026-02-11 21:30:57.536814+00,big_springs_2,333,68.53
2026-02-11 21:30:57.37091+00,big_springs_1,183,62.65
2026-02-11 21:25:19.922875+00,lot_50,163,60.53
2026-02-11 21:25:19.821999+00,lot_32,26,89.92
2026-02-11 21:25:19.720433+00,lot_30,192,91.04
2026-02-11 21:25:19.619629+00,lot_26,190,56.42
2026-02-11 21:25:19.518961+00,lot_24,35,91.38
2026-02-11 21:25:19.41812+00,lot_6,0,100
2026-02-11 21:25:19.316913+00,big_springs_2,335,68.34
2026-02-11 21:25:19.150212+00,big_springs_1,184,62.45
2026-02-11 21:20:34.623696+00,lot_50,160,61.26
2026-02-11 21:20:34.514543+00,lot_32,28,89.15
2026-02-11 21:20:34.40635+00,lot_30,194,90.95
2026-02-11 21:20:34.297877+00,lot_26,189,56.65
2026-02-11 21:20:34.187875+00,lot_24,33,91.87
2026-02-11 21:20:34.078922+00,lot_6,0,100
2026-02-11 21:20:33.970286+00,big_springs_2,338,68.05
2026-02-11 21:20:33.79891+00,big_springs_1,183,62.65
2026-02-11 21:15:24.688712+00,lot_50,158,61.74
2026-02-11 21:15:24.587871+00,lot_32,29,88.76
2026-02-11 21:15:24.488038+00,lot_30,190,91.13
2026-02-11 21:15:24.386885+00,lot_26,190,56.42
2026-02-11 21:15:24.286894+00,lot_24,34,91.63
2026-02-11 21:15:24.187637+00,lot_6,0,100
2026-02-11 21:15:24.086709+00,big_springs_2,343,67.58
2026-02-11 21:15:23.914645+00,big_springs_1,183,62.65
2026-02-11 21:10:27.305577+00,lot_50,155,62.47
2026-02-11 21:10:27.20413+00,lot_32,29,88.76
2026-02-11 21:10:27.102715+00,lot_30,178,91.69
2026-02-11 21:10:27.002423+00,lot_26,190,56.42
2026-02-11 21:10:26.900657+00,lot_24,35,91.38
2026-02-11 21:10:26.799276+00,lot_6,0,100
2026-02-11 21:10:26.697722+00,big_springs_2,349,67.01
